"human-element-link","http://www.human-element.com"
"nexcess-link","https://www.nexcess.net"
"docs-link","http://www.human-element.com/sentry-two-factor-authentication-documentation"
"submit-bug-link","http://www.human-element.com/sentry-two-factor-authentication-documentation#bugs"
"multi-auth-link","http://en.wikipedia.org/wiki/Multi-factor_authentication"
"mage-support-link","http://www.human-element.com/magento-support-page"
"contact-link","http://www.human-element.com/contact/#contact-form"

"Human Element - Sentry","Human Element - Sentry"
"Two-Factor Auth Settings","Two-Factor Auth Settings"
"Sentry Two-Factor Authentication for Magento v%s","Sentry Two-Factor Authentication for Magento v%s"
"Developed as a Partnership between <a href="%s" target="_blank">Human Element</a> and <a href="%s" target="_blank">Nexcess</a> Hosting","Developed as a Partnership between <a href="%s" target="_blank">Human Element</a> and <a href="%s" target="_blank">Nexcess</a> Hosting"
"View Extension Documentation","View Extension Documentation"

"<strong>Sentry</strong> Two-Factor Authentication for Magento","<strong>Sentry</strong> Two-Factor Authentication for Magento"